122.224.83.80 - - [26/Jan/2024:00:01:50 -0300] "POST /template/aui/text-inline.vm HTTP/1.1" 404 456 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"
35.203.211.173 - - [26/Jan/2024:00:11:30 -0300] "GET / HTTP/1.1" 200 16281 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
47.93.204.111 - - [26/Jan/2024:00:14:10 -0300] "POST /template/aui/text-inline.vm HTTP/1.1" 404 5134 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/111.0"
198.235.24.110 - - [26/Jan/2024:00:30:05 -0300] "GET / HTTP/1.1" 200 16281 "-" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
52.81.17.152 - - [26/Jan/2024:00:33:11 -0300] "GET /.git/config HTTP/1.1" 404 437 "-" "Go-http-client/1.1"
87.98.140.71 - - [26/Jan/2024:00:33:24 -0300] "GET / HTTP/1.0" 200 1925 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36"
198.199.107.110 - - [26/Jan/2024:00:42:54 -0300] "MGLNDD_191.252.92.222_80\n" 400 501 "-" "-"
185.239.210.232 - - [26/Jan/2024:00:47:55 -0300] "POST /wp-cron.php?doing_wp_cron=1706240886.3479280471801757812500 HTTP/1.1" 404 5607 "-" "WordPress/6.4.2; https://segredocleopatrarevelado.online"
185.239.210.232 - - [26/Jan/2024:00:47:55 -0300] "POST /wp-cron.php?doing_wp_cron=1706240886.3791239261627197265625 HTTP/1.1" 404 5607 "-" "WordPress/6.4.2; https://segredocleopatrarevelado.online"
185.239.210.232 - - [26/Jan/2024:00:47:55 -0300] "POST /wp-cron.php?doing_wp_cron=1706240886.3641378879547119140625 HTTP/1.1" 404 5607 "-" "WordPress/6.4.2; https://segredocleopatrarevelado.online"
52.167.144.216 - - [26/Jan/2024:00:52:30 -0300] "GET /sitemap.xml.gz HTTP/1.1" 404 443 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
138.246.253.24 - - [26/Jan/2024:00:57:03 -0300] "GET /robots.txt HTTP/1.1" 404 5541 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36"
52.167.144.228 - - [26/Jan/2024:00:57:10 -0300] "GET /sitemap.xml HTTP/1.1" 404 443 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.167.144.54 - - [26/Jan/2024:01:00:47 -0300] "GET /robots.txt HTTP/1.1" 404 497 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
207.46.13.168 - - [26/Jan/2024:01:00:59 -0300] "GET / HTTP/1.1" 200 696 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
17.241.227.69 - - [26/Jan/2024:01:04:26 -0300] "GET /robots.txt HTTP/1.1" 404 441 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"
17.241.227.69 - - [26/Jan/2024:01:04:27 -0300] "GET / HTTP/1.1" 200 696 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"
185.239.210.232 - - [26/Jan/2024:01:05:10 -0300] "POST /wp-cron.php?doing_wp_cron=1706241921.0763978958129882812500 HTTP/1.1" 404 5607 "-" "WordPress/6.4.2; https://segredocleopatrarevelado.online"
149.50.96.45 - - [26/Jan/2024:01:09:47 -0300] "GET / HTTP/1.1" 200 11173 "-" "Hello World/1.0"
40.77.167.28 - - [26/Jan/2024:01:11:08 -0300] "GET /sitemap_index.xml HTTP/1.1" 404 5658 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
198.74.56.46 - - [26/Jan/2024:01:13:19 -0300] "GET / HTTP/1.1" 200 3421 "-" "Mozilla/5.0 zgrab/0.x"
192.155.90.220 - - [26/Jan/2024:01:13:39 -0300] "GET / HTTP/1.1" 200 3421 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36"
178.33.149.171 - - [26/Jan/2024:01:13:45 -0300] "GET / HTTP/1.0" 200 11192 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.106 Safari/537.36"
17.241.219.165 - - [26/Jan/2024:01:20:17 -0300] "GET /robots.txt HTTP/1.1" 404 5530 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"
17.241.219.165 - - [26/Jan/2024:01:20:18 -0300] "GET / HTTP/1.1" 200 3487 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)"
179.43.161.130 - - [26/Jan/2024:01:25:09 -0300] "POST /boaform/admin/formLogin HTTP/1.1" 404 493 "http://191.252.92.222:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0"
89.187.163.203 - - [26/Jan/2024:01:30:12 -0300] "GET / HTTP/1.1" 200 11229 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:12 -0300] "GET / HTTP/1.1" 200 11228 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:13 -0300] "GET /wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:13 -0300] "GET /xmlrpc.php?rsd HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:13 -0300] "GET / HTTP/1.1" 200 11228 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:14 -0300] "GET /blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:14 -0300] "GET /web/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:15 -0300] "GET /wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:15 -0300] "GET /website/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:15 -0300] "GET /wp/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
89.187.163.203 - - [26/Jan/2024:01:30:16 -0300] "GET /news/wp-includes/wlwmanifest.xml HTTP/1.1" 404 493 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4240.193 Safari/537.36"
